date,address,value,cumulative_sum,chain,arkhamEntity,arkhamLabel,price
2024-01-17,1ARkf7J3hH7pTKfrqogcoUqwNWjgnpP5YA,-1000.000033,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1AmoVwB2Ux28U93j5gR1zWQd41EuQ7Wco8,-1000.000404,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1B9NcFqih8m6U7aRTvaWdnMDPvDpXpsgeR,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1BtnCMCEywkmAh22Gb68mRvvxcZfbpJ2dy,-629.5956792,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1C58aVZWeEueJnPeGESsmjA2g9JNZptcVZ,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1CN4XT8Hif4PuzsCLTpkBLfVrwDzcymwUN,-1000.000033,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1CmjpLcuz9zEdRPh2CSH8NL6wa2K1SxNEp,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1DLm5hFsLsQViJUUy4WoHcuNPEpefpUssP,-1000.000033,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1DjS64h9TnvWAamtbqQyPT4vnzxS3tp9Xf,-1000.000033,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1E4UzniRJJTdv5xFyhnUpTgXAcJiAeJYym,318.0027305,318.0027305,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1FGiVMTNVCw6n3G34RDPVpm6Ho4kqevQJ,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1FQjs2ndk8zJETc1S15PQ61UnrDs6op68E,-975.0000438,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1FW7RYokVDq58TCUJ1j1uCJRj2yzJktfzL,1118.62561,1118.62561,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,1GMr5xMvNXSkUHrJEG3Cm1d9nM6zzy3Zga,1.0,1.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1GyAeCR2Ej2ScUvDjnWfp7UEt5UcHr5g71,-974.8880861,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1H7NJxpFVhWZsMbAoHBNBpz7yigUeY8wdq,678.0803761,678.0803761,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1JEt21wEGpSfL8rZ1KVJdobVisRSYK8Wfx,657.6595721,657.6595721,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1JUhcqm3cCsfhCokEGU3Azvq6zMyziNqXA,535.0094016,535.0094016,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1JkawgFFfxnaT2Lo2BPCU5LJ1mR5Yt2hqg,-982.7178854,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1Jnh7c85gt5GoYVXPm7YSFb4FLYCacQpiz,-266.7268522,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1L5og1PF7stDrkibN8cr1NShP8hHtouFCo,1000.0,1000.0,bitcoin,BlackRock,IBIT Bitcoin ETF,42636.0
2024-01-17,1LZof7gdxKdBzKNKpFRdLGDp1mvgB5n1F4,-910.576681,0.0,bitcoin,Grayscale,Bitcoin Trust,42636.0
2024-01-17,1LacF6V18ki4E3EcDex3QmPm3phWzMXEyn,834.2056812,834.2056812,bitcoin,Grayscale,Bitcoin Trust,42636.0
